ID,Title,PublishStart,PublishEnd,CategoryID,AuthorID
1,Új technológiai trendek,2023-09-01 08:00:00,2023-09-05 23:59:59,1,1
2,Kulturális események ősszel,2023-09-02 09:00:00,2023-09-10 23:59:59,2,2
3,Gazdasági kilátások 2023-ban,2023-09-03 10:00:00,2023-09-15 23:59:59,3,3
4,Innováció az iparban,2023-09-04 11:00:00,2023-09-20 23:59:59,1,4
5,Művészeti kiállítások,2023-09-05 12:00:00,2023-09-25 23:59:59,2,5
6,Piaci elemzés és trendek,2023-09-06 13:00:00,2023-09-28 23:59:59,3,6
7,Robotika jövője,2023-09-07 14:00:00,2023-09-30 23:59:59,1,7
8,Kulturális örökség védelme,2023-09-08 15:00:00,2023-09-18 23:59:59,2,8
9,Gazdasági reformok,2023-09-09 16:00:00,2023-09-27 23:59:59,3,1
10,Technológiai innovációk,2023-09-10 17:00:00,2023-09-29 23:59:59,1,2
